company_sort_id,website,employee_size,size_category,tech_summary,,,,,,,,
1,https://bank.za.group/en/,771,501 - 1000 staffs,"ZA Bank is using digital technology to improve operational efficiency. ZA Bank uses Microsoft Teams instead of email for internal communication; this accelerates information dissemination, lowers response times, boosts interaction, and increases transparency, which is especially effective for remote working. The bank’s data-driven dashboard shortens operating processes, makes data insights more visible, and enables staff to make informed decisions. ZA also uses technologies such as robotic process automation and AI to reduce manual operations within the bank, such as internal paperwork and manual reconciliation.",,,,,,,,
2,https://www.welab.bank/en/,158,1000+ staffs,"Instilling the core philosophy of the �?I�?�?Instant, Interactive and Intelligent, WeLab Bank is using artificial intelligence, big data and machine learning and other leading technologies to design and build products and services to bring a new digital experience for the Hong Kong public.",,,,,,,,
3,https://www.airstarbank.com/en-hk/,64,1 - 100 staffs,"Airstar Bank uses SAS solutions for risk-based customer due diligence, money laundering detection and comprehensive credit risk management throughout the customer life cycle.",,,,,,,,
4,https://www.antbank.hk/home?lang=zh_hk,40,1 - 100 staffs,"Ant Bank continue to promote the development and application of digital technology, introducing leading products like AntChain, OceanBase, SOFAStack, and mPaaS based on our expertise in blockchain, privacy computing, security technology, and distributed database. We are committed to working with partners across different industries to support the small and medium-sized financial institutions in their digital transformation, enable SMEs in the service industry to operate digitally and facilitate digital collaboration across industries.",,,,,,,,
5,https://www.fusionbank.com/,105,101 - 200 staffs,"Leveraging advanced artificial intelligence (AI) and cloud-based technologies, Fusion Bank Business Banking provides customers with a more seamless, secure banking experience, including online smart customer services to handle enquiries in real time, as well as the adoption of eKYC identity authentication technology jointly developed by Tencent and Fusion Bank which substantially improves the accuracy of facial and image recognition. With the new technology, the False Acceptance Rate and Straight Through Rate have been improved, while the number of facial captures needed for ID verification decreased, bringing a smoother online account opening experience to our customers.",,,,,,,,
6,https://www.livibank.com/en/,156,101 - 200 staffs,Livi makes use of artificial intelligence (AI) and e-Know Your Customer in order to help SMEs apply for a bank account and secure loans without having to visit a physical bank branch.,,,,,,,,
7,https://mox.com/,314,201 - 500 staffs,"Mox is fully cloud native, with a cloud-based core banking system that can scale development, test environments and loads, ensuring stability with steady costs. Alongside, it has implemented storage solutions for resilient services, automation and process optimisation to improve efficiency in the end-to-end customer journey. Walker shared that the average customer onboarding time is approximately five minutes, with over 70% of applications being processed straight through, including all necessary checks and verifications.
 Given the increasing number of customers, the bank has wider access to customers data including their transactions and behavior that it plans to leverage. It uses artificial intelligence and machine learning across various areas, such as cybersecurity, behavioural analytics, and credit risk to enhance business decisions.",,,,,,,,
8,https://www.paob.com.hk/en/,97,1000+ staffs,"PAOB is pioneering data sharing and partnerships. Real-time data plays a key role in transforming small- and medium-size business (SMB) lending experiences. Putting open banking at the heart of its strategy, PAOB took an active role in the Commercial Data Interchange’s proof-of-concept exercise, part of the Hong Kong Monetary Authority’s Fintech 2025 strategy to enable the exchange of financial data between financial and nonfinancial institutions. Working with third parties improves PAOB’s access to SMB operating data and enables it to better evaluate SMBs�?operational performance and serve their financial needs.",,,,,,,,
9,https://www.klarna.com/inter tio l/,4857,1000+ staffs,"Klarna, a leading Swedish fintech, enhances online shopping through AI-driven payment solutions like “Buy Now, Pay Later,�?allowing consumers to try products before payment. Their data analytics dashboard provides real-time insights, helping retailers optimize sales strategies. Utilizing machine learning algorithms for credit assessments, Klarna minimizes manual processes and enhances security, streamlining operations and reducing fraud risk. By continuously innovating, Klarna makes online shopping more accessible and efficient for millions.",,,,,,,,
10,https://www.revolut.com/,15212,1000+ staffs,"Revolut, a prominent UK fintech, revolutionizes banking through its mobile app, offering a suite of services including currency exchange, cryptocurrency trading, and peer-to-peer payments. By leveraging APIs and in-house technology, Revolut ensures a seamless user experience and low transaction fees. The platform utilizes data analytics to provide real-time insights, enhancing customer engagement and operational efficiency. With a focus on innovation, Revolut continuously expands its offerings, making financial services more accessible and user-friendly for millions globally.",,,,,,,,
