company_sort_id,shareholder_name,shareholder_description,share_percentage,shareholder_tag,,,,
1,"ZhongAn Online P&C Insurance Co., Ltd.","provided consumer insurance, health insurance, travel insurance.",44.70%,Insurance,,,,
1,Sinolink Worldwide Holdings Limited,"a Hong Kong-based financial services company. It operates as a subsidiary of Sinolink Securities Co., Ltd., a leading securities brokerage firm in China.",44.75%,Finance,,,,
1,Chow Tai Fook Jewellery Company Limited,"a renowned jewelry retailer headquartered in Hong Kong. It operates through various retail formats, including standalone stores, shop-in-shops, and e-commerce platforms.",8.33%,Retail,,,,
1,AIA Group Limited,a leading pan-Asian life insurance group with a presence in 18 markets across the Asia-Pacific region.,2.96%,Insurance,,,,
2,WeLab Holdings Limited,a financial technology company that provides digital banking and consumer finance services,100.00%,Technology,,,,
3,Xiaomi Group,a leading technology company headquartered in China,90.00%,Technology,,,,
3,AMTD Group,a diversified financial services conglomerate based in Hong Kong,10.00%,Finance,,,,
4,"Ant Group Co., Ltd.","a leading technology company based in China, known for its innovative financial technology solutions and its flagship product, Alipay",/,Technology,,,,
4,Alibaba Group,"a multinational conglomerate with a focus on e-commerce, technology, and various other sectors.",/,Technology,,,,
5,Tencent Holdings Limited,"A multinational conglomerate and one of the largest technology companies in the world.Tencent's business encompasses various areas, including social media, online gaming, digital entertainment, e-commerce, fintech, cloud computing, and artificial intelligence. ",/,Technology,,,,
5,Industrial and Commercial Bank of China (Asia) Limited,"A subsidiary of the Industrial and Commercial Bank of China (ICBC), one of the largest banks in the world. ICBC Asia provides a wide range of banking products and services, including retail banking, corporate banking, treasury operations, trade finance, wealth management, and investment banking.",/,Finance,,,,
5,Hong Kong Exchanges and Clearing Limited,"HKEX is the operator of the securities and derivatives markets in Hong Kong. It is one of the world's leading financial market operators, providing a platform for the trading and clearing of a wide range of securities, including stocks, bonds, and derivatives.",/,Finance,,,,
5,Hillhouse Capital,"Hillhouse Capital is a leading investment management firm based in Asia, with a focus on long-term investments in companies across various sectors and stages of growth. Founded in 2005, Hillhouse Capital has a strong track record of investing in innovative and high-growth businesses in Asia and globally.",/,Finance,,,,
5,Mr. Adrian Cheng (invested via the investment entity �?Perfect Ridge Limited),"Mr. Adrian Cheng is a renowned Hong Kong entrepreneur, philanthropist, and cultural advocate. He is a member of the prominent Cheng family, which has a significant presence in the business and real estate sectors in Hong Kong.Adrian Cheng is the CEO and Executive Vice Chairman of New World Development, a leading conglomerate with diversified business interests, including property development, infrastructure, retail, and hospitality.",/,Individual,,,,
6,BOC Hong Kong (Holdings) Limited,"A leading banking and financial services group based in Hong Kong. It is a subsidiary of Bank of China (BOC), one of the largest state-owned commercial banks in China.BOCHK offers a comprehensive range of banking products and services to individuals, corporations, and institutional clients.",44.00%,Finance,,,,
6,JD New Orbit Technology (Hong Kong) Limited,"A subsidiary of the JD. JD is one of the largest e-commerce companies in China, offering a wide range of products and services through its online platform.",36.00%,Technology,,,,
6,JSH Virtual Ventures Holdings Limited,"A subsidiary of the Jardine Matheson Group. Jardines is one of Asia閳ユ�?largest conglomerates, founded in 1832. It has helped shape the business and consumer landscape in the region for more than 180 years. Its network of companies is unparalleled in diversity and scale, with a portfolio spanning property investment and development (Hongkong Land), food retailing (Wellcome), health and beauty (Mannings), convenience stores (7-Eleven), and many more. Jardines�?extensive consumer footprint makes it a unique and complementary shareholder for the virtual bank.",20.00%,Cross-sector,,,,
7,Standard Chartered Bank (Hong Kong) Limited,"offers a comprehensive range of banking and financial services to individuals, corporations, and institutional clients.",65.98%,Finance,,,,
